Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2016","Mumps, Cum 2016, flag","Mumps, Cum 2015","Mumps, Cum 2015, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2016","Pertussis, Cum 2016, flag","Pertussis, Cum 2015","Pertussis, Cum 2015, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2016","Rabies, animal, Cum 2016, flag","Rabies, animal, Cum 2015","Rabies, animal, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,1,,15,,74,,1,,7,,98,,356,,539,,98,,499,,10,,72,,120,,10,,23,,,
NEW ENGLAND,2016,1,,-,0,,3,,,-,,-,11,,12,,31,,11,,20,,,-,5,,13,,,-,5,,,
MID. ATLANTIC,2016,1,,-,3,,12,,,-,,-,16,,40,,68,,16,,33,,5,,11,,25,,5,,7,,,
NEW YORK CITY,2016,1,,-,1,,10,,,-,,-,,-,6,,22,,,-,4,,,-,0,,0,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,6,,46,,,-,4,,29,,50,,108,,29,,84,,,-,1,,18,,,-,1,,,
W.N. CENTRAL,2016,1,1,,1,,31,,1,,1,,6,,23,,106,,6,,90,,,-,2,,9,,,-,2,,,
S. ATLANTIC,2016,1,,-,1,,5,,,-,1,,14,,28,,72,,14,,38,,3,,14,,57,,3,,5,,,
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,3,,,-,,-,9,,10,,24,,9,,22,,2,,2,,6,,2,,1,,,
W.S. CENTRAL,2016,1,,-,0,,6,,,-,,-,2,,30,,57,,2,,4,,,-,18,,70,,,-,2,,,
MOUNTAIN,2016,1,,-,0,,3,,,-,1,,9,,50,,85,,9,,71,,,-,0,,4,,,-,,-,,
PACIFIC,2016,1,,-,0,,3,,,-,,-,2,,95,,222,,2,,137,,,-,4,,37,,,-,,-,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,U,,-,,-,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW MEXICO,2016,1,,-,0,,1,,,-,,-,,-,4,,15,,,-,4,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2016,1,,-,0,,2,,,-,,-,,-,7,,15,,,-,3,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
IOWA,2016,1,1,,0,,31,,1,,1,,,-,3,,10,,,-,6,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
FLORIDA,2016,1,,-,0,,1,,,-,,-,7,,7,,14,,7,,7,,1,,0,,51,,1,,1,,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
