Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,31,,152,,715,,31,,108,,1,,13,,49,,1,,49,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,1,,-,7,,23,,,-,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,1,11,,14,,60,,11,,13,,,-,3,,9,,,-,9,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,5,,3,,12,,5,,4,,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,11,,34,,298,,11,,30,,,-,1,,7,,,-,2,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,1,,26,,107,,1,,14,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,1,1,,25,,78,,1,,22,,,-,2,,7,,,-,7,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,1,3,,10,,43,,3,,6,,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,1,,-,17,,39,,,-,3,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,1,3,,11,,109,,3,,10,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,1,,13,,47,,1,,8,,,-,3,,27,,,-,27,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
VERMONT,2017,1,,-,1,,10,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2017,1,,-,0,,1,,,-,,-,,-,2,,27,,,-,2,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2017,1,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2017,1,,-,4,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,1,,-,2,,18,,,-,2,,,-,1,,5,,,-,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2017,1,1,,6,,26,,1,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2017,1,,-,7,,22,,,-,6,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,1,,-,6,,22,,,-,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALABAMA,2017,1,3,,5,,27,,3,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2017,1,,-,0,,3,,,-,,-,,-,0,,11,,,-,11,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,1,,-,3,,24,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2017,1,2,,0,,1,,2,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2017,1,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MONTANA,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,1,,-,3,,17,,,-,3,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2017,1,8,,12,,206,,8,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,1,,-,6,,25,,,-,7,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2017,1,,-,2,,10,,,-,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,1,,-,2,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2017,1,,-,2,,10,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2017,1,,-,4,,50,,,-,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,1,,-,11,,33,,,-,3,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2017,1,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2017,1,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
CONNECTICUT,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,1,6,,5,,25,,6,,1,,,-,1,,5,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2017,1,,-,3,,9,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
